img_name,age,gender,left,top,right,bottom
faces.jpg,32-48,F,100,124,326,457
faces.jpg,22-34,M,1694,926,1923,1249
faces.jpg,36-52,M,1700,122,1918,451
faces.jpg,24-38,M,1283,537,1513,849
faces.jpg,29-45,M,63,533,291,844
faces.jpg,19-31,F,875,521,1099,833
faces.jpg,22-34,M,480,127,705,434
faces.jpg,22-34,M,1278,939,1505,1240
faces.jpg,20-32,F,485,930,710,1233
faces.jpg,27-43,F,869,936,1090,1237
faces.jpg,22-34,M,489,540,714,833
faces.jpg,22-34,F,891,132,1118,420
faces.jpg,36-54,F,88,941,301,1246
faces.jpg,20-32,F,1273,132,1492,426
faces.jpg,31-47,F,1695,548,1922,825
